Month,Outlet_ID,Outlet_Type,Region,Product_ID,Brand,Manufacturer,Units,Sales_Value,Transaction_Type,Territory_ID
2023-01-01,OUT00009,Clinic,Canal,P0001,CardioSafe,Alpha Pharma,223,19793.83,Sell-in,T006
2023-01-01,OUT00087,Clinic,Upper Egypt,P0006,NeuroCalm,Zeta Pharma,580,40843.01,Sell-in,T026
2023-01-01,OUT00078,Chain Pharmacy,Giza,P0007,ArthroRelief,Eta Pharma,263,25203.41,Sell-in,T027
2023-01-01,OUT00021,Chain Pharmacy,Upper Egypt,P0004,PainFree,Delta Pharma,519,34261.25,Sell-in,T015
2023-01-01,OUT00027,Chain Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,334,53197.46,Sell-in,T011
2023-01-01,OUT00089,Hospital,Alexandria,P0006,NeuroCalm,Zeta Pharma,135,21082.75,Sell-in,T009
2023-01-01,OUT00071,Clinic,Alexandria,P0004,PainFree,Delta Pharma,669,83228.18,Sell-in,T009
2023-01-01,OUT00098,Independent Pharmacy,Alexandria,P0003,Respira,Gamma Pharma,671,108174.98,Sell-in,T013
2023-01-01,OUT00112,Independent Pharmacy,Delta,P0002,GlucoMax,Beta Pharma,840,128445.81,Sell-in,T001
2023-01-01,OUT00090,Clinic,Upper Egypt,P0008,Dermacare,Theta Pharma,314,42143.81,Sell-in,T029
2023-01-01,OUT00026,Clinic,Cairo,P0005,Infecto,Epsilon Pharma,572,17490.44,Sell-in,T018
2023-01-01,OUT00102,Hospital,Delta,P0003,Respira,Gamma Pharma,251,30056.06,Sell-in,T014
2023-01-01,OUT00093,Hospital,Upper Egypt,P0005,Infecto,Epsilon Pharma,305,48888.77,Sell-in,T003
2023-01-01,OUT00110,Chain Pharmacy,Upper Egypt,P0005,Infecto,Epsilon Pharma,450,22306.34,Sell-in,T027
2023-01-01,OUT00082,Clinic,Upper Egypt,P0005,Infecto,Epsilon Pharma,143,9238.7,Sell-in,T023
2023-01-01,OUT00024,Chain Pharmacy,Canal,P0009,LipiControl,Iota Pharma,496,14928.56,Sell-in,T016
2023-01-01,OUT00048,Clinic,Giza,P0004,PainFree,Delta Pharma,135,21252.67,Sell-in,T011
2023-01-01,OUT00094,Chain Pharmacy,Cairo,P0009,LipiControl,Iota Pharma,117,6993.32,Sell-in,T019
2023-01-01,OUT00075,Clinic,Delta,P0003,Respira,Gamma Pharma,233,15029.02,Sell-in,T009
2023-01-01,OUT00019,Hospital,Giza,P0001,CardioSafe,Alpha Pharma,195,5787.46,Sell-in,T017
2023-01-01,OUT00053,Chain Pharmacy,Cairo,P0004,PainFree,Delta Pharma,170,5466.31,Sell-in,T008
2023-01-01,OUT00051,Independent Pharmacy,Giza,P0008,Dermacare,Theta Pharma,513,73280.07,Sell-in,T018
2023-01-01,OUT00028,Independent Pharmacy,Alexandria,P0006,NeuroCalm,Zeta Pharma,742,42439.08,Sell-in,T028
2023-01-01,OUT00119,Hospital,Alexandria,P0010,GastroEase,Kappa Pharma,513,42954.22,Sell-in,T028
2023-01-01,OUT00007,Independent Pharmacy,Upper Egypt,P0002,GlucoMax,Beta Pharma,553,70365.12,Sell-in,T020
2023-01-01,OUT00023,Independent Pharmacy,Cairo,P0003,Respira,Gamma Pharma,471,44378.23,Sell-in,T014
2023-01-01,OUT00015,Clinic,Cairo,P0010,GastroEase,Kappa Pharma,496,22099.8,Sell-in,T019
2023-01-01,OUT00066,Clinic,Delta,P0010,GastroEase,Kappa Pharma,786,91697.08,Sell-in,T027
2023-01-01,OUT00011,Clinic,Delta,P0004,PainFree,Delta Pharma,647,104959.45,Sell-in,T001
2023-01-01,OUT00001,Clinic,Canal,P0003,Respira,Gamma Pharma,838,83530.44,Sell-in,T026
2023-01-01,OUT00106,Clinic,Delta,P0002,GlucoMax,Beta Pharma,810,143355.35,Sell-in,T022
2023-01-01,OUT00006,Hospital,Giza,P0005,Infecto,Epsilon Pharma,709,115896.76,Sell-in,T011
2023-01-01,OUT00100,Clinic,Canal,P0007,ArthroRelief,Eta Pharma,762,73743.3,Sell-in,T029
2023-01-01,OUT00012,Independent Pharmacy,Upper Egypt,P0002,GlucoMax,Beta Pharma,813,21286.17,Sell-in,T024
2023-01-01,OUT00092,Clinic,Canal,P0007,ArthroRelief,Eta Pharma,164,13384.6,Sell-in,T015
2023-01-01,OUT00059,Chain Pharmacy,Canal,P0002,GlucoMax,Beta Pharma,275,21554.37,Sell-in,T026
2023-02-01,OUT00074,Hospital,Cairo,P0010,GastroEase,Kappa Pharma,738,110330.58,Sell-in,T001
2023-02-01,OUT00051,Independent Pharmacy,Alexandria,P0005,Infecto,Epsilon Pharma,668,23810.74,Sell-in,T017
2023-02-01,OUT00040,Independent Pharmacy,Delta,P0006,NeuroCalm,Zeta Pharma,617,92461.92,Sell-in,T007
2023-02-01,OUT00029,Hospital,Delta,P0007,ArthroRelief,Eta Pharma,724,104666.73,Sell-in,T021
2023-02-01,OUT00055,Hospital,Alexandria,P0008,Dermacare,Theta Pharma,217,17166.14,Sell-in,T001
2023-02-01,OUT00087,Clinic,Alexandria,P0010,GastroEase,Kappa Pharma,436,32099.37,Sell-in,T006
2023-02-01,OUT00004,Hospital,Canal,P0004,PainFree,Delta Pharma,497,24645.19,Sell-in,T017
2023-02-01,OUT00048,Independent Pharmacy,Giza,P0008,Dermacare,Theta Pharma,522,74603.17,Sell-in,T021
2023-02-01,OUT00097,Clinic,Giza,P0010,GastroEase,Kappa Pharma,266,26794.56,Sell-in,T024
2023-02-01,OUT00032,Chain Pharmacy,Cairo,P0007,ArthroRelief,Eta Pharma,576,35006.88,Sell-in,T017
2023-02-01,OUT00027,Chain Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,427,69446.35,Sell-in,T006
2023-02-01,OUT00078,Clinic,Cairo,P0008,Dermacare,Theta Pharma,350,47972.21,Sell-in,T006
2023-02-01,OUT00045,Chain Pharmacy,Delta,P0003,Respira,Gamma Pharma,36,3610.21,Sell-in,T020
2023-02-01,OUT00007,Hospital,Delta,P0007,ArthroRelief,Eta Pharma,321,52967.99,Sell-in,T023
2023-02-01,OUT00101,Clinic,Upper Egypt,P0009,LipiControl,Iota Pharma,794,25177.76,Sell-in,T023
2023-02-01,OUT00011,Chain Pharmacy,Giza,P0002,GlucoMax,Beta Pharma,91,10838.68,Sell-in,T005
2023-02-01,OUT00094,Independent Pharmacy,Delta,P0010,GastroEase,Kappa Pharma,439,20145.78,Sell-in,T009
2023-02-01,OUT00115,Hospital,Delta,P0008,Dermacare,Theta Pharma,387,55575.98,Sell-in,T010
2023-02-01,OUT00028,Chain Pharmacy,Cairo,P0003,Respira,Gamma Pharma,674,44636.92,Sell-in,T015
2023-02-01,OUT00047,Chain Pharmacy,Alexandria,P0005,Infecto,Epsilon Pharma,217,13008.16,Sell-in,T018
2023-02-01,OUT00073,Chain Pharmacy,Alexandria,P0005,Infecto,Epsilon Pharma,549,40135.87,Sell-in,T022
2023-02-01,OUT00098,Hospital,Cairo,P0004,PainFree,Delta Pharma,307,19259.51,Sell-in,T004
2023-02-01,OUT00019,Chain Pharmacy,Cairo,P0005,Infecto,Epsilon Pharma,73,12442.39,Sell-in,T006
2023-02-01,OUT00023,Clinic,Delta,P0010,GastroEase,Kappa Pharma,675,58140.4,Sell-in,T015
2023-02-01,OUT00091,Independent Pharmacy,Canal,P0002,GlucoMax,Beta Pharma,792,66779.64,Sell-in,T012
2023-02-01,OUT00084,Hospital,Upper Egypt,P0002,GlucoMax,Beta Pharma,727,63775.18,Sell-in,T004
2023-02-01,OUT00092,Independent Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,685,96166.44,Sell-in,T021
2023-02-01,OUT00111,Hospital,Canal,P0004,PainFree,Delta Pharma,104,15830.28,Sell-in,T003
2023-02-01,OUT00012,Clinic,Alexandria,P0001,CardioSafe,Alpha Pharma,506,78077.05,Sell-in,T011
2023-02-01,OUT00030,Hospital,Delta,P0007,ArthroRelief,Eta Pharma,140,11160.6,Sell-in,T016
2023-02-01,OUT00069,Chain Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,313,52032.23,Sell-in,T013
2023-02-01,OUT00062,Chain Pharmacy,Canal,P0006,NeuroCalm,Zeta Pharma,161,25058.61,Sell-in,T020
2023-02-01,OUT00080,Independent Pharmacy,Upper Egypt,P0010,GastroEase,Kappa Pharma,541,71517.16,Sell-in,T025
2023-02-01,OUT00113,Chain Pharmacy,Delta,P0004,PainFree,Delta Pharma,758,45171.21,Sell-in,T002
2023-02-01,OUT00116,Independent Pharmacy,Delta,P0002,GlucoMax,Beta Pharma,55,6447.48,Sell-in,T017
2023-02-01,OUT00099,Independent Pharmacy,Giza,P0001,CardioSafe,Alpha Pharma,340,44742.79,Sell-in,T028
2023-02-01,OUT00031,Clinic,Canal,P0010,GastroEase,Kappa Pharma,39,4919.35,Sell-in,T007
2023-02-01,OUT00076,Chain Pharmacy,Delta,P0005,Infecto,Epsilon Pharma,631,27253.16,Sell-in,T008
2023-02-01,OUT00021,Clinic,Alexandria,P0008,Dermacare,Theta Pharma,151,6304.71,Sell-in,T008
2023-02-01,OUT00033,Chain Pharmacy,Giza,P0010,GastroEase,Kappa Pharma,247,34275.08,Sell-in,T006
2023-02-01,OUT00096,Independent Pharmacy,Delta,P0005,Infecto,Epsilon Pharma,137,5058.73,Sell-in,T009
2023-02-01,OUT00070,Chain Pharmacy,Giza,P0008,Dermacare,Theta Pharma,331,23859.57,Sell-in,T011
2023-02-01,OUT00052,Clinic,Alexandria,P0007,ArthroRelief,Eta Pharma,819,57927.91,Sell-in,T009
2023-02-01,OUT00015,Hospital,Alexandria,P0002,GlucoMax,Beta Pharma,268,35231.91,Sell-in,T002
2023-02-01,OUT00109,Clinic,Cairo,P0008,Dermacare,Theta Pharma,250,23816.37,Sell-in,T006
2023-02-01,OUT00081,Hospital,Canal,P0010,GastroEase,Kappa Pharma,145,8377.03,Sell-in,T029
2023-02-01,OUT00102,Clinic,Upper Egypt,P0004,PainFree,Delta Pharma,668,121544.33,Sell-in,T007
2023-02-01,OUT00013,Chain Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,216,24957.02,Sell-in,T003
2023-02-01,OUT00035,Independent Pharmacy,Delta,P0010,GastroEase,Kappa Pharma,699,27517.91,Sell-in,T008
2023-02-01,OUT00057,Independent Pharmacy,Giza,P0004,PainFree,Delta Pharma,681,74794.91,Sell-in,T023
2023-02-01,OUT00058,Hospital,Canal,P0010,GastroEase,Kappa Pharma,346,30811.5,Sell-in,T029
2023-02-01,OUT00063,Chain Pharmacy,Upper Egypt,P0006,NeuroCalm,Zeta Pharma,349,34809.37,Sell-in,T012
2023-02-01,OUT00038,Independent Pharmacy,Canal,P0004,PainFree,Delta Pharma,98,8689.91,Sell-in,T008
2023-02-01,OUT00008,Chain Pharmacy,Cairo,P0003,Respira,Gamma Pharma,76,2291.79,Sell-in,T009
2023-02-01,OUT00002,Hospital,Delta,P0004,PainFree,Delta Pharma,51,5937.51,Sell-in,T030
2023-02-01,OUT00061,Independent Pharmacy,Upper Egypt,P0007,ArthroRelief,Eta Pharma,795,78392.69,Sell-in,T007
2023-02-01,OUT00068,Independent Pharmacy,Cairo,P0008,Dermacare,Theta Pharma,854,134348.04,Sell-in,T022
2023-02-01,OUT00079,Chain Pharmacy,Giza,P0007,ArthroRelief,Eta Pharma,650,40611.05,Sell-in,T011
2023-02-01,OUT00071,Chain Pharmacy,Cairo,P0001,CardioSafe,Alpha Pharma,366,39889.02,Sell-in,T027
2023-02-01,OUT00034,Chain Pharmacy,Cairo,P0010,GastroEase,Kappa Pharma,819,68168.75,Sell-in,T006
2023-02-01,OUT00118,Hospital,Canal,P0002,GlucoMax,Beta Pharma,769,32218.47,Sell-in,T014
2023-02-01,OUT00114,Hospital,Delta,P0009,LipiControl,Iota Pharma,813,86340.7,Sell-in,T014
2023-02-01,OUT00022,Chain Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,261,30392.57,Sell-in,T025
2023-02-01,OUT00110,Chain Pharmacy,Alexandria,P0009,LipiControl,Iota Pharma,350,14189.66,Sell-in,T006
2023-02-01,OUT00036,Hospital,Alexandria,P0005,Infecto,Epsilon Pharma,253,18000.17,Sell-in,T026
2023-02-01,OUT00090,Hospital,Giza,P0002,GlucoMax,Beta Pharma,783,26927.03,Sell-in,T009
2023-02-01,OUT00044,Chain Pharmacy,Alexandria,P0007,ArthroRelief,Eta Pharma,641,63418.51,Sell-in,T004
2023-02-01,OUT00105,Clinic,Delta,P0007,ArthroRelief,Eta Pharma,768,40427.08,Sell-in,T004
2023-02-01,OUT00065,Independent Pharmacy,Cairo,P0007,ArthroRelief,Eta Pharma,139,24373.75,Sell-in,T029
2023-02-01,OUT00103,Hospital,Upper Egypt,P0006,NeuroCalm,Zeta Pharma,253,28231.81,Sell-in,T008
2023-02-01,OUT00089,Independent Pharmacy,Delta,P0001,CardioSafe,Alpha Pharma,157,13351.51,Sell-in,T028
2023-02-01,OUT00049,Hospital,Delta,P0006,NeuroCalm,Zeta Pharma,641,100725.87,Sell-in,T021
2023-02-01,OUT00046,Independent Pharmacy,Cairo,P0010,GastroEase,Kappa Pharma,639,109806.04,Sell-in,T014
2023-02-01,OUT00085,Independent Pharmacy,Upper Egypt,P0006,NeuroCalm,Zeta Pharma,863,153758.78,Sell-in,T029
2023-02-01,OUT00016,Chain Pharmacy,Canal,P0009,LipiControl,Iota Pharma,198,15655.94,Sell-in,T029
2023-02-01,OUT00018,Independent Pharmacy,Upper Egypt,P0005,Infecto,Epsilon Pharma,266,29674.51,Sell-in,T013
2023-02-01,OUT00054,Hospital,Canal,P0003,Respira,Gamma Pharma,685,81353.6,Sell-in,T007
2023-02-01,OUT00053,Hospital,Canal,P0008,Dermacare,Theta Pharma,817,72664.27,Sell-in,T019
2023-02-01,OUT00067,Clinic,Cairo,P0008,Dermacare,Theta Pharma,806,57084.56,Sell-in,T001
2023-02-01,OUT00025,Chain Pharmacy,Upper Egypt,P0003,Respira,Gamma Pharma,715,96485.12,Sell-in,T029
2023-03-01,OUT00018,Hospital,Upper Egypt,P0009,LipiControl,Iota Pharma,199,7722.45,Sell-in,T004
2023-03-01,OUT00108,Clinic,Alexandria,P0003,Respira,Gamma Pharma,554,60847.01,Sell-in,T021
2023-03-01,OUT00094,Independent Pharmacy,Giza,P0002,GlucoMax,Beta Pharma,570,85050.84,Sell-in,T020
2023-03-01,OUT00019,Chain Pharmacy,Upper Egypt,P0007,ArthroRelief,Eta Pharma,676,103820.16,Sell-in,T019
2023-03-01,OUT00052,Clinic,Giza,P0006,NeuroCalm,Zeta Pharma,157,28188.4,Sell-in,T022
2023-03-01,OUT00063,Hospital,Canal,P0005,Infecto,Epsilon Pharma,217,7139.46,Sell-in,T016
2023-03-01,OUT00110,Clinic,Cairo,P0005,Infecto,Epsilon Pharma,304,30656.21,Sell-in,T019
2023-03-01,OUT00095,Independent Pharmacy,Alexandria,P0010,GastroEase,Kappa Pharma,761,72016.53,Sell-in,T013
2023-03-01,OUT00090,Chain Pharmacy,Giza,P0007,ArthroRelief,Eta Pharma,246,22699.32,Sell-in,T006
2023-03-01,OUT00118,Independent Pharmacy,Delta,P0007,ArthroRelief,Eta Pharma,115,10670.46,Sell-in,T030
2023-03-01,OUT00025,Hospital,Alexandria,P0005,Infecto,Epsilon Pharma,880,148376.96,Sell-in,T007
2023-03-01,OUT00071,Clinic,Giza,P0007,ArthroRelief,Eta Pharma,698,85733.52,Sell-in,T020
2023-03-01,OUT00029,Independent Pharmacy,Giza,P0004,PainFree,Delta Pharma,801,103686.77,Sell-in,T011
2023-03-01,OUT00101,Chain Pharmacy,Cairo,P0009,LipiControl,Iota Pharma,525,87378.14,Sell-in,T026
2023-03-01,OUT00067,Hospital,Giza,P0002,GlucoMax,Beta Pharma,388,18827.84,Sell-in,T023
2023-03-01,OUT00092,Clinic,Upper Egypt,P0008,Dermacare,Theta Pharma,575,66572.35,Sell-in,T009
2023-03-01,OUT00097,Chain Pharmacy,Giza,P0003,Respira,Gamma Pharma,367,50545.61,Sell-in,T021
2023-03-01,OUT00106,Hospital,Canal,P0008,Dermacare,Theta Pharma,623,107200.48,Sell-in,T006
2023-03-01,OUT00074,Hospital,Upper Egypt,P0008,Dermacare,Theta Pharma,142,23044.73,Sell-in,T024
2023-03-01,OUT00053,Chain Pharmacy,Alexandria,P0008,Dermacare,Theta Pharma,522,42307.16,Sell-in,T030
2023-03-01,OUT00084,Clinic,Upper Egypt,P0005,Infecto,Epsilon Pharma,776,56639.08,Sell-in,T003
2023-03-01,OUT00116,Independent Pharmacy,Canal,P0005,Infecto,Epsilon Pharma,87,14951.4,Sell-in,T014
2023-03-01,OUT00115,Chain Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,368,26998.48,Sell-in,T023
2023-03-01,OUT00070,Clinic,Canal,P0008,Dermacare,Theta Pharma,165,12638.13,Sell-in,T006
2023-03-01,OUT00017,Chain Pharmacy,Delta,P0001,CardioSafe,Alpha Pharma,91,11696.21,Sell-in,T017
2023-03-01,OUT00012,Clinic,Canal,P0006,NeuroCalm,Zeta Pharma,466,68244.22,Sell-in,T029
2023-03-01,OUT00041,Independent Pharmacy,Upper Egypt,P0009,LipiControl,Iota Pharma,562,18358.81,Sell-in,T001
2023-03-01,OUT00055,Chain Pharmacy,Canal,P0009,LipiControl,Iota Pharma,186,24291.63,Sell-in,T011
2023-03-01,OUT00048,Clinic,Delta,P0005,Infecto,Epsilon Pharma,870,79469.55,Sell-in,T018
2023-03-01,OUT00062,Clinic,Cairo,P0009,LipiControl,Iota Pharma,250,10557.08,Sell-in,T002
2023-03-01,OUT00026,Chain Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,668,64656.13,Sell-in,T009
2023-03-01,OUT00113,Hospital,Cairo,P0004,PainFree,Delta Pharma,38,2579.18,Sell-in,T012
2023-03-01,OUT00098,Chain Pharmacy,Giza,P0010,GastroEase,Kappa Pharma,171,28470.71,Sell-in,T002
2023-03-01,OUT00009,Hospital,Canal,P0003,Respira,Gamma Pharma,178,22023.11,Sell-in,T022
2023-03-01,OUT00030,Clinic,Alexandria,P0006,NeuroCalm,Zeta Pharma,757,104301.13,Sell-in,T025
2023-03-01,OUT00015,Independent Pharmacy,Delta,P0010,GastroEase,Kappa Pharma,606,59432.41,Sell-in,T020
2023-03-01,OUT00080,Hospital,Alexandria,P0003,Respira,Gamma Pharma,856,133807.55,Sell-in,T028
2023-03-01,OUT00069,Independent Pharmacy,Alexandria,P0005,Infecto,Epsilon Pharma,186,7041.78,Sell-in,T010
2023-03-01,OUT00042,Independent Pharmacy,Giza,P0010,GastroEase,Kappa Pharma,315,57017.58,Sell-in,T011
2023-03-01,OUT00093,Hospital,Giza,P0009,LipiControl,Iota Pharma,727,131350.15,Sell-in,T025
2023-03-01,OUT00002,Clinic,Canal,P0009,LipiControl,Iota Pharma,830,108470.39,Sell-in,T010
2023-03-01,OUT00061,Hospital,Giza,P0010,GastroEase,Kappa Pharma,331,59559.77,Sell-in,T019
2023-03-01,OUT00065,Hospital,Upper Egypt,P0007,ArthroRelief,Eta Pharma,152,27861.92,Sell-in,T025
2023-03-01,OUT00114,Clinic,Giza,P0008,Dermacare,Theta Pharma,410,10703.26,Sell-in,T016
2023-03-01,OUT00028,Hospital,Delta,P0007,ArthroRelief,Eta Pharma,768,75692.56,Sell-in,T019
2023-03-01,OUT00076,Chain Pharmacy,Giza,P0010,GastroEase,Kappa Pharma,633,89993.44,Sell-in,T008
2023-03-01,OUT00020,Chain Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,408,51986.89,Sell-in,T021
2023-03-01,OUT00112,Hospital,Alexandria,P0010,GastroEase,Kappa Pharma,758,142420.08,Sell-in,T028
2023-03-01,OUT00045,Hospital,Upper Egypt,P0007,ArthroRelief,Eta Pharma,602,30918.37,Sell-in,T004
2023-03-01,OUT00049,Clinic,Upper Egypt,P0001,CardioSafe,Alpha Pharma,786,47722.62,Sell-in,T008
2023-03-01,OUT00096,Hospital,Upper Egypt,P0004,PainFree,Delta Pharma,306,48034.57,Sell-in,T022
2023-03-01,OUT00003,Hospital,Canal,P0010,GastroEase,Kappa Pharma,324,14515.68,Sell-in,T030
2023-03-01,OUT00105,Independent Pharmacy,Cairo,P0002,GlucoMax,Beta Pharma,607,33255.15,Sell-in,T020
2023-03-01,OUT00047,Hospital,Canal,P0007,ArthroRelief,Eta Pharma,679,88081.14,Sell-in,T021
2023-03-01,OUT00043,Independent Pharmacy,Alexandria,P0003,Respira,Gamma Pharma,708,17942.51,Sell-in,T015
2023-03-01,OUT00087,Hospital,Cairo,P0009,LipiControl,Iota Pharma,63,7114.52,Sell-in,T004
2023-03-01,OUT00091,Clinic,Cairo,P0001,CardioSafe,Alpha Pharma,773,57606.05,Sell-in,T017
2023-03-01,OUT00068,Hospital,Delta,P0007,ArthroRelief,Eta Pharma,859,76015.86,Sell-in,T018
2023-03-01,OUT00006,Hospital,Upper Egypt,P0010,GastroEase,Kappa Pharma,782,75303.99,Sell-in,T018
2023-03-01,OUT00040,Chain Pharmacy,Delta,P0002,GlucoMax,Beta Pharma,758,47701.63,Sell-in,T022
2023-03-01,OUT00089,Hospital,Cairo,P0007,ArthroRelief,Eta Pharma,176,5689.4,Sell-in,T016
2023-03-01,OUT00072,Chain Pharmacy,Giza,P0001,CardioSafe,Alpha Pharma,560,90936.48,Sell-in,T022
2023-03-01,OUT00056,Chain Pharmacy,Delta,P0007,ArthroRelief,Eta Pharma,134,24338.42,Sell-in,T023
2023-03-01,OUT00022,Chain Pharmacy,Alexandria,P0003,Respira,Gamma Pharma,873,69482.7,Sell-in,T012
2023-03-01,OUT00102,Clinic,Delta,P0008,Dermacare,Theta Pharma,359,47723.65,Sell-in,T021
2023-03-01,OUT00117,Chain Pharmacy,Cairo,P0007,ArthroRelief,Eta Pharma,686,110582.38,Sell-in,T007
2023-03-01,OUT00014,Chain Pharmacy,Delta,P0006,NeuroCalm,Zeta Pharma,645,117738.91,Sell-in,T013
2023-03-01,OUT00099,Hospital,Canal,P0010,GastroEase,Kappa Pharma,403,71255.43,Sell-in,T019
2023-03-01,OUT00081,Hospital,Canal,P0007,ArthroRelief,Eta Pharma,759,49406.21,Sell-in,T014
2023-03-01,OUT00109,Chain Pharmacy,Delta,P0010,GastroEase,Kappa Pharma,231,10584.43,Sell-in,T022
