Date,Country,Region,Therapeutic_Area,Product_ID,Brand,Manufacturer,Sales_Value,Sales_Units,Market_Share_%
2023-02-01,Egypt,Delta,Cardiology,P0001,CardioSafe,Alpha Pharma,141514.11,2512,100.0
2023-02-01,Egypt,Delta,Cardiovascular,P0009,LipiControl,Iota Pharma,160866.67,2024,100.0
2023-02-01,Egypt,Delta,Dermatology,P0008,Dermacare,Theta Pharma,546278.66,4825,100.0
2023-02-01,Egypt,Delta,Diabetes,P0002,GlucoMax,Beta Pharma,132599.74,2981,100.0
2023-02-01,Egypt,Delta,Gastrointestinal,P0010,GastroEase,Kappa Pharma,652665.38,8450,100.0
2023-02-01,Egypt,Delta,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,347046.19,3298,100.0
2023-02-01,Egypt,Delta,Pain,P0004,PainFree,Delta Pharma,1560790.27,7707,100.0
2023-02-01,Egypt,Delta,Respiratory,P0003,Respira,Gamma Pharma,819080.05,6824,100.0
2023-02-01,Egypt,Giza,Anti-infective,P0005,Infecto,Epsilon Pharma,1308558.31,8598,100.0
2023-02-01,Egypt,Giza,CNS,P0006,NeuroCalm,Zeta Pharma,1397007.09,8022,100.0
2023-02-01,Egypt,Giza,Cardiology,P0001,CardioSafe,Alpha Pharma,204923.48,1298,100.0
2023-02-01,Egypt,Giza,Cardiovascular,P0009,LipiControl,Iota Pharma,272781.43,6873,100.0
2023-02-01,Egypt,Giza,Dermatology,P0008,Dermacare,Theta Pharma,846749.82,6855,100.0
2023-02-01,Egypt,Giza,Diabetes,P0002,GlucoMax,Beta Pharma,1530066.33,7692,100.0
2023-02-01,Egypt,Giza,Gastrointestinal,P0010,GastroEase,Kappa Pharma,261599.14,8344,100.0
2023-02-01,Egypt,Giza,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,589717.12,7186,100.0
2023-02-01,Egypt,Giza,Pain,P0004,PainFree,Delta Pharma,332593.91,8589,100.0
2023-02-01,Egypt,Giza,Respiratory,P0003,Respira,Gamma Pharma,1420326.55,8443,100.0
2023-02-01,Egypt,Upper Egypt,Anti-infective,P0005,Infecto,Epsilon Pharma,364375.98,8503,100.0
2023-02-01,Egypt,Upper Egypt,CNS,P0006,NeuroCalm,Zeta Pharma,297772.64,7042,100.0
2023-02-01,Egypt,Upper Egypt,Cardiology,P0001,CardioSafe,Alpha Pharma,147047.68,3150,100.0
2023-02-01,Egypt,Upper Egypt,Cardiovascular,P0009,LipiControl,Iota Pharma,193781.59,1647,100.0
2023-02-01,Egypt,Upper Egypt,Dermatology,P0008,Dermacare,Theta Pharma,652881.43,3459,100.0
2023-02-01,Egypt,Upper Egypt,Diabetes,P0002,GlucoMax,Beta Pharma,125124.54,820,100.0
2023-02-01,Egypt,Upper Egypt,Gastrointestinal,P0010,GastroEase,Kappa Pharma,211398.68,1132,100.0
2023-02-01,Egypt,Upper Egypt,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,261068.05,1571,100.0
2023-02-01,Egypt,Upper Egypt,Pain,P0004,PainFree,Delta Pharma,989046.32,4636,100.0
2023-02-01,Egypt,Upper Egypt,Respiratory,P0003,Respira,Gamma Pharma,192696.89,5245,100.0
2023-03-01,Egypt,Alexandria,Anti-infective,P0005,Infecto,Epsilon Pharma,777208.93,4206,100.0
2023-03-01,Egypt,Alexandria,CNS,P0006,NeuroCalm,Zeta Pharma,1728965.86,8409,100.0
2023-03-01,Egypt,Alexandria,Cardiology,P0001,CardioSafe,Alpha Pharma,765330.85,8815,100.0
2023-03-01,Egypt,Alexandria,Cardiovascular,P0009,LipiControl,Iota Pharma,696815.7,6834,100.0
2023-03-01,Egypt,Alexandria,Dermatology,P0008,Dermacare,Theta Pharma,829880.03,5201,100.0
2023-03-01,Egypt,Alexandria,Diabetes,P0002,GlucoMax,Beta Pharma,626486.0,5176,100.0
2023-03-01,Egypt,Alexandria,Gastrointestinal,P0010,GastroEase,Kappa Pharma,854267.04,5450,100.0
2023-03-01,Egypt,Alexandria,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,181445.38,1098,100.0
2023-03-01,Egypt,Alexandria,Pain,P0004,PainFree,Delta Pharma,1055054.6,6690,100.0
2023-03-01,Egypt,Alexandria,Respiratory,P0003,Respira,Gamma Pharma,969876.59,5380,100.0
2023-03-01,Egypt,Cairo,Anti-infective,P0005,Infecto,Epsilon Pharma,168743.21,2797,100.0
2023-03-01,Egypt,Cairo,CNS,P0006,NeuroCalm,Zeta Pharma,1053317.69,7151,100.0
2023-03-01,Egypt,Cairo,Cardiology,P0001,CardioSafe,Alpha Pharma,166328.67,5062,100.0
2023-03-01,Egypt,Cairo,Cardiovascular,P0009,LipiControl,Iota Pharma,517307.77,3145,100.0
2023-03-01,Egypt,Cairo,Dermatology,P0008,Dermacare,Theta Pharma,440698.36,6378,100.0
2023-03-01,Egypt,Cairo,Diabetes,P0002,GlucoMax,Beta Pharma,743737.58,5170,100.0
2023-03-01,Egypt,Cairo,Gastrointestinal,P0010,GastroEase,Kappa Pharma,535822.71,8076,100.0
2023-03-01,Egypt,Cairo,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,625121.3,7136,100.0
2023-03-01,Egypt,Cairo,Pain,P0004,PainFree,Delta Pharma,1172069.3,8850,100.0
2023-03-01,Egypt,Cairo,Respiratory,P0003,Respira,Gamma Pharma,443408.98,3750,100.0
2023-03-01,Egypt,Canal,Anti-infective,P0005,Infecto,Epsilon Pharma,606442.54,2883,100.0
2023-03-01,Egypt,Canal,CNS,P0006,NeuroCalm,Zeta Pharma,996645.36,7491,100.0
2023-03-01,Egypt,Canal,Cardiology,P0001,CardioSafe,Alpha Pharma,1240676.12,8356,100.0
2023-03-01,Egypt,Canal,Cardiovascular,P0009,LipiControl,Iota Pharma,333461.44,8397,100.0
2023-03-01,Egypt,Canal,Dermatology,P0008,Dermacare,Theta Pharma,526542.37,3871,100.0
2023-03-01,Egypt,Canal,Diabetes,P0002,GlucoMax,Beta Pharma,99141.13,2523,100.0
2023-03-01,Egypt,Canal,Gastrointestinal,P0010,GastroEase,Kappa Pharma,620443.65,4316,100.0
2023-03-01,Egypt,Canal,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,633292.66,3675,100.0
2023-03-01,Egypt,Canal,Pain,P0004,PainFree,Delta Pharma,1272934.81,6768,100.0
2023-03-01,Egypt,Canal,Respiratory,P0003,Respira,Gamma Pharma,597756.55,3364,100.0
2023-03-01,Egypt,Delta,Anti-infective,P0005,Infecto,Epsilon Pharma,269998.56,1850,100.0
2023-03-01,Egypt,Delta,CNS,P0006,NeuroCalm,Zeta Pharma,495493.55,6990,100.0
2023-03-01,Egypt,Delta,Cardiology,P0001,CardioSafe,Alpha Pharma,843445.38,8986,100.0
2023-03-01,Egypt,Delta,Cardiovascular,P0009,LipiControl,Iota Pharma,772571.7,8325,100.0
2023-03-01,Egypt,Delta,Dermatology,P0008,Dermacare,Theta Pharma,390859.04,2089,100.0
2023-03-01,Egypt,Delta,Diabetes,P0002,GlucoMax,Beta Pharma,321051.81,7656,100.0
2023-03-01,Egypt,Delta,Gastrointestinal,P0010,GastroEase,Kappa Pharma,1581227.23,8201,100.0
2023-03-01,Egypt,Delta,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,962123.2,8804,100.0
2023-03-01,Egypt,Delta,Pain,P0004,PainFree,Delta Pharma,281375.88,3201,100.0
2023-03-01,Egypt,Delta,Respiratory,P0003,Respira,Gamma Pharma,430328.58,4199,100.0
2023-03-01,Egypt,Giza,Anti-infective,P0005,Infecto,Epsilon Pharma,1454392.02,7207,100.0
2023-03-01,Egypt,Giza,CNS,P0006,NeuroCalm,Zeta Pharma,204142.36,5824,100.0
2023-03-01,Egypt,Giza,Cardiology,P0001,CardioSafe,Alpha Pharma,978150.71,5364,100.0
2023-03-01,Egypt,Giza,Cardiovascular,P0009,LipiControl,Iota Pharma,414672.77,7790,100.0
2023-03-01,Egypt,Giza,Dermatology,P0008,Dermacare,Theta Pharma,1778032.2,8628,100.0
2023-03-01,Egypt,Giza,Diabetes,P0002,GlucoMax,Beta Pharma,593779.26,6080,100.0
2023-03-01,Egypt,Giza,Gastrointestinal,P0010,GastroEase,Kappa Pharma,357373.19,6301,100.0
2023-03-01,Egypt,Giza,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,1077386.52,6830,100.0
2023-03-01,Egypt,Giza,Pain,P0004,PainFree,Delta Pharma,556028.83,3654,100.0
2023-03-01,Egypt,Giza,Respiratory,P0003,Respira,Gamma Pharma,583615.62,7624,100.0
2023-03-01,Egypt,Upper Egypt,Anti-infective,P0005,Infecto,Epsilon Pharma,263329.32,4491,100.0
2023-03-01,Egypt,Upper Egypt,CNS,P0006,NeuroCalm,Zeta Pharma,247862.07,1349,100.0
2023-03-01,Egypt,Upper Egypt,Cardiology,P0001,CardioSafe,Alpha Pharma,749158.45,8840,100.0
2023-03-01,Egypt,Upper Egypt,Cardiovascular,P0009,LipiControl,Iota Pharma,1638244.76,7782,100.0
2023-03-01,Egypt,Upper Egypt,Dermatology,P0008,Dermacare,Theta Pharma,825981.6,7871,100.0
2023-03-01,Egypt,Upper Egypt,Diabetes,P0002,GlucoMax,Beta Pharma,206714.22,6591,100.0
2023-03-01,Egypt,Upper Egypt,Gastrointestinal,P0010,GastroEase,Kappa Pharma,607480.17,7629,100.0
2023-03-01,Egypt,Upper Egypt,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,101126.92,1846,100.0
2023-03-01,Egypt,Upper Egypt,Pain,P0004,PainFree,Delta Pharma,310775.03,2873,100.0
2023-03-01,Egypt,Upper Egypt,Respiratory,P0003,Respira,Gamma Pharma,962306.1,5045,100.0
2023-04-01,Egypt,Alexandria,Anti-infective,P0005,Infecto,Epsilon Pharma,496813.17,2321,100.0
2023-04-01,Egypt,Alexandria,CNS,P0006,NeuroCalm,Zeta Pharma,966016.97,8105,100.0
2023-04-01,Egypt,Alexandria,Cardiology,P0001,CardioSafe,Alpha Pharma,198880.07,1032,100.0
2023-04-01,Egypt,Alexandria,Cardiovascular,P0009,LipiControl,Iota Pharma,528856.73,2586,100.0
2023-04-01,Egypt,Alexandria,Dermatology,P0008,Dermacare,Theta Pharma,350029.74,1711,100.0
2023-04-01,Egypt,Alexandria,Diabetes,P0002,GlucoMax,Beta Pharma,1722361.88,8470,100.0
2023-04-01,Egypt,Alexandria,Gastrointestinal,P0010,GastroEase,Kappa Pharma,536443.06,7367,100.0
2023-04-01,Egypt,Alexandria,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,1263818.74,8381,100.0
2023-04-01,Egypt,Alexandria,Pain,P0004,PainFree,Delta Pharma,142101.8,1206,100.0
2023-04-01,Egypt,Alexandria,Respiratory,P0003,Respira,Gamma Pharma,470019.22,4262,100.0
2023-04-01,Egypt,Cairo,Anti-infective,P0005,Infecto,Epsilon Pharma,518612.52,6723,100.0
2023-04-01,Egypt,Cairo,CNS,P0006,NeuroCalm,Zeta Pharma,438375.88,7569,100.0
2023-04-01,Egypt,Cairo,Cardiology,P0001,CardioSafe,Alpha Pharma,139631.57,834,100.0
2023-04-01,Egypt,Cairo,Cardiovascular,P0009,LipiControl,Iota Pharma,965561.89,4695,100.0
2023-04-01,Egypt,Cairo,Dermatology,P0008,Dermacare,Theta Pharma,91284.09,1426,100.0
2023-04-01,Egypt,Cairo,Diabetes,P0002,GlucoMax,Beta Pharma,600363.32,3520,100.0
2023-04-01,Egypt,Cairo,Gastrointestinal,P0010,GastroEase,Kappa Pharma,919741.06,5670,100.0
2023-04-01,Egypt,Cairo,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,905649.47,8276,100.0
2023-04-01,Egypt,Cairo,Pain,P0004,PainFree,Delta Pharma,1003618.99,5100,100.0
2023-04-01,Egypt,Cairo,Respiratory,P0003,Respira,Gamma Pharma,1031307.6,6702,100.0
2023-04-01,Egypt,Canal,Anti-infective,P0005,Infecto,Epsilon Pharma,51059.63,1084,100.0
2023-04-01,Egypt,Canal,CNS,P0006,NeuroCalm,Zeta Pharma,923159.62,4308,100.0
2023-04-01,Egypt,Canal,Cardiology,P0001,CardioSafe,Alpha Pharma,1533615.46,8789,100.0
2023-04-01,Egypt,Canal,Cardiovascular,P0009,LipiControl,Iota Pharma,76943.18,1496,100.0
2023-04-01,Egypt,Canal,Dermatology,P0008,Dermacare,Theta Pharma,699950.98,6258,100.0
2023-04-01,Egypt,Canal,Diabetes,P0002,GlucoMax,Beta Pharma,404668.15,2546,100.0
2023-04-01,Egypt,Canal,Gastrointestinal,P0010,GastroEase,Kappa Pharma,850002.68,3901,100.0
2023-04-01,Egypt,Canal,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,794195.6,8744,100.0
2023-04-01,Egypt,Canal,Pain,P0004,PainFree,Delta Pharma,694525.58,8195,100.0
2023-04-01,Egypt,Canal,Respiratory,P0003,Respira,Gamma Pharma,32490.29,965,100.0
2023-04-01,Egypt,Delta,Anti-infective,P0005,Infecto,Epsilon Pharma,854810.13,7076,100.0
2023-04-01,Egypt,Delta,CNS,P0006,NeuroCalm,Zeta Pharma,1302113.79,7005,100.0
2023-04-01,Egypt,Delta,Cardiology,P0001,CardioSafe,Alpha Pharma,121672.13,1816,100.0
2023-04-01,Egypt,Delta,Cardiovascular,P0009,LipiControl,Iota Pharma,196717.39,6513,100.0
2023-04-01,Egypt,Delta,Dermatology,P0008,Dermacare,Theta Pharma,175250.16,4538,100.0
2023-04-01,Egypt,Delta,Diabetes,P0002,GlucoMax,Beta Pharma,217805.62,1535,100.0
2023-04-01,Egypt,Delta,Gastrointestinal,P0010,GastroEase,Kappa Pharma,214792.19,1809,100.0
2023-04-01,Egypt,Delta,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,401728.52,8651,100.0
2023-04-01,Egypt,Delta,Pain,P0004,PainFree,Delta Pharma,242574.91,3331,100.0
2023-04-01,Egypt,Delta,Respiratory,P0003,Respira,Gamma Pharma,441345.89,2295,100.0
2023-04-01,Egypt,Giza,Anti-infective,P0005,Infecto,Epsilon Pharma,174802.97,2030,100.0
2023-04-01,Egypt,Giza,CNS,P0006,NeuroCalm,Zeta Pharma,265396.84,1357,100.0
2023-04-01,Egypt,Giza,Cardiology,P0001,CardioSafe,Alpha Pharma,371060.31,4922,100.0
2023-04-01,Egypt,Giza,Cardiovascular,P0009,LipiControl,Iota Pharma,559737.58,4247,100.0
2023-04-01,Egypt,Giza,Dermatology,P0008,Dermacare,Theta Pharma,336300.41,1768,100.0
2023-04-01,Egypt,Giza,Diabetes,P0002,GlucoMax,Beta Pharma,1460689.67,7570,100.0
2023-04-01,Egypt,Giza,Gastrointestinal,P0010,GastroEase,Kappa Pharma,1789462.96,8284,100.0
2023-04-01,Egypt,Giza,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,252076.21,2319,100.0
2023-04-01,Egypt,Giza,Pain,P0004,PainFree,Delta Pharma,1654672.85,8415,100.0
2023-04-01,Egypt,Giza,Respiratory,P0003,Respira,Gamma Pharma,1401791.16,6558,100.0
2023-04-01,Egypt,Upper Egypt,Anti-infective,P0005,Infecto,Epsilon Pharma,183382.46,1404,100.0
2023-04-01,Egypt,Upper Egypt,CNS,P0006,NeuroCalm,Zeta Pharma,523424.12,2425,100.0
2023-04-01,Egypt,Upper Egypt,Cardiology,P0001,CardioSafe,Alpha Pharma,1379824.95,6713,100.0
2023-04-01,Egypt,Upper Egypt,Cardiovascular,P0009,LipiControl,Iota Pharma,488554.54,5018,100.0
2023-04-01,Egypt,Upper Egypt,Dermatology,P0008,Dermacare,Theta Pharma,361751.52,8320,100.0
2023-04-01,Egypt,Upper Egypt,Diabetes,P0002,GlucoMax,Beta Pharma,281912.96,1513,100.0
2023-04-01,Egypt,Upper Egypt,Gastrointestinal,P0010,GastroEase,Kappa Pharma,577624.29,6407,100.0
2023-04-01,Egypt,Upper Egypt,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,392207.63,3093,100.0
2023-04-01,Egypt,Upper Egypt,Pain,P0004,PainFree,Delta Pharma,873922.82,8861,100.0
2023-04-01,Egypt,Upper Egypt,Respiratory,P0003,Respira,Gamma Pharma,1108275.06,5164,100.0
2023-05-01,Egypt,Alexandria,Anti-infective,P0005,Infecto,Epsilon Pharma,170047.89,1195,100.0
2023-05-01,Egypt,Alexandria,CNS,P0006,NeuroCalm,Zeta Pharma,434880.85,3567,100.0
2023-05-01,Egypt,Alexandria,Cardiology,P0001,CardioSafe,Alpha Pharma,122922.92,1263,100.0
2023-05-01,Egypt,Alexandria,Cardiovascular,P0009,LipiControl,Iota Pharma,238114.32,1447,100.0
2023-05-01,Egypt,Alexandria,Dermatology,P0008,Dermacare,Theta Pharma,408455.85,8021,100.0
2023-05-01,Egypt,Alexandria,Diabetes,P0002,GlucoMax,Beta Pharma,634422.66,3220,100.0
2023-05-01,Egypt,Alexandria,Gastrointestinal,P0010,GastroEase,Kappa Pharma,471688.17,2243,100.0
2023-05-01,Egypt,Alexandria,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,295665.85,2586,100.0
2023-05-01,Egypt,Alexandria,Pain,P0004,PainFree,Delta Pharma,194858.57,975,100.0
2023-05-01,Egypt,Alexandria,Respiratory,P0003,Respira,Gamma Pharma,459088.56,7208,100.0
2023-05-01,Egypt,Cairo,Anti-infective,P0005,Infecto,Epsilon Pharma,146971.77,1229,100.0
2023-05-01,Egypt,Cairo,CNS,P0006,NeuroCalm,Zeta Pharma,890224.61,5377,100.0
2023-05-01,Egypt,Cairo,Cardiology,P0001,CardioSafe,Alpha Pharma,452871.84,5190,100.0
2023-05-01,Egypt,Cairo,Cardiovascular,P0009,LipiControl,Iota Pharma,1173399.59,8902,100.0
