Date,Country,Region,Product_ID,Brand,Molecule,Manufacturer,ATC_Code,Therapeutic_Area,Dosage_Form,Strength,Pack_Size,Units,Standard_Units,Sales_Value,Channel,Currency,Market_Share_%,Value_Growth_%
2023-01-01,Egypt,Cairo,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,1770,2955.0,85256.93,Independent Pharmacy,EGP,1.7279455774259969,
2023-01-01,Egypt,Giza,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,6719,11712.0,1094381.82,Chain Pharmacy,EGP,24.571175239840457,
2023-01-01,Egypt,Alexandria,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,1441,2648.0,277812.37,Independent Pharmacy,EGP,6.163056904453613,
2023-01-01,Egypt,Delta,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,4637,9162.0,505054.01,Chain Pharmacy,EGP,5.587188227429773,
2023-01-01,Egypt,Upper Egypt,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,5319,10004.0,1105323.02,Chain Pharmacy,EGP,19.82318321973596,
2023-01-01,Egypt,Canal,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,6363,13092.0,989353.97,Independent Pharmacy,EGP,14.191748136121074,
2023-01-01,Egypt,Cairo,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,3604,7117.0,558406.46,Chain Pharmacy,EGP,11.317507831481931,
2023-01-01,Egypt,Giza,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,6207,8818.0,255450.86,Independent Pharmacy,EGP,5.735409462693697,
2023-01-01,Egypt,Alexandria,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,5723,7899.0,372533.81,Chain Pharmacy,EGP,8.264380271702482,
2023-01-01,Egypt,Delta,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,6606,13385.0,1421336.35,Chain Pharmacy,EGP,15.723612850708784,
2023-01-01,Egypt,Upper Egypt,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,2092,4129.0,345478.75,Independent Pharmacy,EGP,6.195915977372256,
2023-01-01,Egypt,Canal,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,5284,10433.0,949726.51,Independent Pharmacy,EGP,13.623313633761708,
2023-01-01,Egypt,Cairo,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,6274,10706.0,658198.4,Chain Pharmacy,EGP,13.340041851716538,
2023-01-01,Egypt,Giza,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,6266,10575.0,315034.11,Hospital,EGP,7.073178831988615,
2023-01-01,Egypt,Alexandria,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,4563,7433.0,999721.5,Independent Pharmacy,EGP,22.17806389652744,
2023-01-01,Egypt,Delta,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,7864,16171.0,1394456.26,Independent Pharmacy,EGP,15.426250351992552,
2023-01-01,Egypt,Upper Egypt,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,7149,14664.0,514851.78,Chain Pharmacy,EGP,9.233500959698812,
2023-01-01,Egypt,Canal,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,8772,13488.0,1033758.04,Chain Pharmacy,EGP,14.82870052805284,
2023-01-01,Egypt,Cairo,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,3162,4600.0,341129.19,Independent Pharmacy,EGP,6.913838853820008,
2023-01-01,Egypt,Giza,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,1728,3158.0,146053.95,Independent Pharmacy,EGP,3.279218581976166,
2023-01-01,Egypt,Alexandria,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,6498,12276.0,371182.65,Independent Pharmacy,EGP,8.234405811000746,
2023-01-01,Egypt,Delta,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,5003,8765.0,644453.9,Independent Pharmacy,EGP,7.129307305571545,
2023-01-01,Egypt,Upper Egypt,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,3147,4465.0,122703.47,Independent Pharmacy,EGP,2.200599574509336,
2023-01-01,Egypt,Canal,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,2194,4752.0,177698.29,Hospital,EGP,2.548985956865774,
2023-01-01,Egypt,Cairo,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,6940,14907.0,396785.86,Independent Pharmacy,EGP,8.041860901772687,
2023-01-01,Egypt,Giza,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,2388,3684.0,455226.72,Chain Pharmacy,EGP,10.220797994412758,
2023-01-01,Egypt,Alexandria,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,4547,7505.0,902894.62,Chain Pharmacy,EGP,20.030032938364197,
2023-01-01,Egypt,Delta,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,1329,1983.0,253705.11,Chain Pharmacy,EGP,2.8066269661551155,
2023-01-01,Egypt,Upper Egypt,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,4310,7140.0,667275.82,Hospital,EGP,11.967117845749337,
2023-01-01,Egypt,Canal,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,5202,8730.0,758872.14,Chain Pharmacy,EGP,10.885610817733122,
2023-01-01,Egypt,Cairo,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,5054,10795.0,597906.3,Hospital,EGP,12.118071185534612,
2023-01-01,Egypt,Giza,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,5479,7670.0,585051.9,Chain Pharmacy,EGP,13.1356465326714,
2023-01-01,Egypt,Alexandria,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,3820,8229.0,620653.75,Hospital,EGP,13.768733117292534,
2023-01-01,Egypt,Delta,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,4357,5859.0,747959.62,Chain Pharmacy,EGP,8.274345120944284,
2023-01-01,Egypt,Upper Egypt,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,2881,5097.0,342036.82,Chain Pharmacy,EGP,6.134187407727968,
2023-01-01,Egypt,Canal,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,2555,3997.0,400729.9,Hospital,EGP,5.748253894824908,
2023-01-01,Egypt,Cairo,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,3144,6242.0,287242.76,Independent Pharmacy,EGP,5.821695160612013,
2023-01-01,Egypt,Giza,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,987,1664.0,142693.82,Hospital,EGP,3.2037765913017915,
2023-01-01,Egypt,Alexandria,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,6212,11429.0,236098.42,Independent Pharmacy,EGP,5.237664534201947,
2023-01-01,Egypt,Delta,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,8273,13274.0,919848.08,Independent Pharmacy,EGP,10.175870821419435,
2023-01-01,Egypt,Upper Egypt,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,5989,8911.0,774578.63,Hospital,EGP,13.891517522707586,
2023-01-01,Egypt,Canal,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,7520,11833.0,1522243.41,Independent Pharmacy,EGP,21.835759224365457,
2023-01-01,Egypt,Cairo,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,7607,12469.0,472320.41,Chain Pharmacy,EGP,9.572758057175337,
2023-01-01,Egypt,Giza,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,5964,11295.0,915971.95,Hospital,EGP,20.565498153312138,
2023-01-01,Egypt,Alexandria,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,7483,11131.0,313030.85,Independent Pharmacy,EGP,6.944352194970596,
2023-01-01,Egypt,Delta,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,5408,9607.0,1062549.48,Independent Pharmacy,EGP,11.754513038551316,
2023-01-01,Egypt,Upper Egypt,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,1884,3696.0,181489.11,Hospital,EGP,3.2548782707129478,
2023-01-01,Egypt,Canal,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,4934,8373.0,822232.54,Hospital,EGP,11.794481521111292,
2023-02-01,Egypt,Cairo,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,923,1815.0,71641.69,Chain Pharmacy,EGP,1.221171158356305,-91.68518479960433
2023-02-01,Egypt,Giza,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,1298,2019.0,204923.48,Hospital,EGP,2.50998736186727,-57.57444474696304
2023-02-01,Egypt,Alexandria,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,7734,13298.0,970159.34,Independent Pharmacy,EGP,10.574179688318692,227.48254374338495
2023-02-01,Egypt,Delta,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,2512,3455.0,141514.11,Chain Pharmacy,EGP,2.737275914892089,-89.66649095367757
2023-02-01,Egypt,Upper Egypt,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,3150,6672.0,147047.68,Chain Pharmacy,EGP,4.280622537220461,-75.05968131790895
2023-02-01,Egypt,Canal,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,7062,13467.0,333669.13,Independent Pharmacy,EGP,4.43215416724536,94.06990908754625
2023-02-01,Egypt,Cairo,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,4682,6767.0,912574.16,Hospital,EGP,15.555317637722279,35.167284100141806
2023-02-01,Egypt,Giza,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,7692,10125.0,1530066.33,Independent Pharmacy,EGP,18.740883919786235,2406.6075405970905
2023-02-01,Egypt,Alexandria,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,4632,9482.0,702900.85,Chain Pharmacy,EGP,7.661215621520423,498.06842595625744
2023-02-01,Egypt,Delta,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,2981,6196.0,132599.74,Hospital,EGP,2.5648472411899643,-81.60052746368103
2023-02-01,Egypt,Upper Egypt,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,820,1116.0,125124.54,Independent Pharmacy,EGP,3.6424303048055098,-86.58290062380922
2023-02-01,Egypt,Canal,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,3622,7363.0,669992.68,Hospital,EGP,8.899567211044927,362.7487854438362
2023-02-01,Egypt,Cairo,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,1857,2421.0,112418.94,Independent Pharmacy,EGP,1.9162413279333297,31.8590054790854
2023-02-01,Egypt,Giza,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,8443,15727.0,1420326.55,Hospital,EGP,17.396745801040183,29.78345619813019
2023-02-01,Egypt,Alexandria,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,7837,10476.0,1157609.68,Hospital,EGP,12.61728075024985,316.6875938605614
2023-02-01,Egypt,Delta,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,6824,9016.0,819080.05,Independent Pharmacy,EGP,15.843283000074043,62.17672442596785
2023-02-01,Egypt,Upper Egypt,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,5245,10803.0,192696.89,Hospital,EGP,5.609491086063325,-82.56646369312021
2023-02-01,Egypt,Canal,P0003,Respira,Molecule C,Gamma Pharma,R03AC02,Respiratory,Inhaler,100 mcg,1,1997,4046.0,363983.17,Independent Pharmacy,EGP,4.834818023838993,-63.21001572369494
2023-02-01,Egypt,Cairo,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,1241,2142.0,150460.51,Hospital,EGP,2.5646803597679004,-73.05537797682355
2023-02-01,Egypt,Giza,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,8589,11210.0,332593.91,Chain Pharmacy,EGP,4.073747482396942,30.19878265432341
2023-02-01,Egypt,Alexandria,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,6636,12431.0,587448.87,Independent Pharmacy,EGP,6.402855338257907,57.69008187471629
2023-02-01,Egypt,Delta,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,7707,10694.0,1560790.27,Hospital,EGP,30.190018608525477,9.811465104653095
2023-02-01,Egypt,Upper Egypt,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,4636,7864.0,989046.32,Hospital,EGP,28.791572690891552,186.28282347322374
2023-02-01,Egypt,Canal,P0004,PainFree,Molecule D,Delta Pharma,N02BE01,Pain,Tablet,500 mg,20,8625,13434.0,1042379.87,Independent Pharmacy,EGP,13.846016515442038,9.755793802154678
2023-02-01,Egypt,Cairo,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,8611,18099.0,1677973.43,Independent Pharmacy,EGP,28.601960076656507,154.93429184877994
2023-02-01,Egypt,Giza,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,8598,13193.0,1308558.31,Hospital,EGP,16.027762267000316,315.37035783204556
2023-02-01,Egypt,Alexandria,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,7584,10553.0,1626037.62,Hospital,EGP,17.72287629972832,62.64905976314405
2023-02-01,Egypt,Delta,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,2631,5296.0,114772.28,Independent Pharmacy,EGP,2.2200146525406623,-91.76938830623487
2023-02-01,Egypt,Upper Egypt,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,8503,16145.0,364375.98,Independent Pharmacy,EGP,10.607144784669789,-29.2270136465295
2023-02-01,Egypt,Canal,P0005,Infecto,Molecule E,Epsilon Pharma,J01CA04,Anti-infective,Capsule,500 mg,14,5384,8571.0,475012.38,Chain Pharmacy,EGP,6.30962804233684,-54.049945768741004
2023-02-01,Egypt,Cairo,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,4200,6537.0,273654.5,Independent Pharmacy,EGP,4.6645882132933405,-19.77980541624128
2023-02-01,Egypt,Giza,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,8022,12517.0,1397007.09,Independent Pharmacy,EGP,17.11111943023304,856.5007245610269
2023-02-01,Egypt,Alexandria,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,8875,12403.0,984857.52,Hospital,EGP,10.73438140983307,165.32962141414745
2023-02-01,Egypt,Delta,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,6293,10927.0,694275.05,Chain Pharmacy,EGP,13.429207678835,7.730754674616769
2023-02-01,Egypt,Upper Egypt,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,7042,15297.0,297772.64,Hospital,EGP,8.668292310029203,142.67662520057502
2023-02-01,Egypt,Canal,P0006,NeuroCalm,Molecule F,Zeta Pharma,N06AB10,CNS,Tablet,20 mg,28,8470,13444.0,1293514.71,Chain Pharmacy,EGP,17.18186100200421,627.9274944063895
2023-02-01,Egypt,Cairo,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,5476,10418.0,264203.56,Chain Pharmacy,EGP,4.503491855190176,-33.41406873722767
2023-02-01,Egypt,Giza,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,7186,11657.0,589717.12,Independent Pharmacy,EGP,7.223098681892208,29.543608512259567
2023-02-01,Egypt,Alexandria,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,4801,7749.0,904564.78,Chain Pharmacy,EGP,9.859236652243606,0.18497839758975232
2023-02-01,Egypt,Delta,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,3298,4854.0,347046.19,Hospital,EGP,6.712837166852576,36.79117066266424
2023-02-01,Egypt,Upper Egypt,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,1571,2406.0,261068.05,Hospital,EGP,7.599805577199166,-60.875541691290415
2023-02-01,Egypt,Canal,P0007,ArthroRelief,Molecule G,Eta Pharma,M01AE01,Musculoskeletal,Tablet,400 mg,30,4737,6637.0,403291.61,Hospital,EGP,5.356955226504144,-46.85644804406708
2023-02-01,Egypt,Cairo,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,8231,12209.0,710119.18,Chain Pharmacy,EGP,12.10436355719176,18.76763633365295
2023-02-01,Egypt,Giza,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,6855,9190.0,846749.82,Chain Pharmacy,EGP,10.371341277550945,44.73071876187393
2023-02-01,Egypt,Alexandria,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,7083,15061.0,1160923.38,Independent Pharmacy,EGP,12.653398177345053,87.04847590141844
2023-02-01,Egypt,Delta,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,4825,9527.0,546278.66,Independent Pharmacy,EGP,10.566546465490436,-26.964150818730026
2023-02-01,Egypt,Upper Egypt,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,3459,7450.0,652881.43,Chain Pharmacy,EGP,19.00566512433738,90.88045257817565
2023-02-01,Egypt,Canal,P0008,Dermacare,Molecule H,Theta Pharma,D07AC01,Dermatology,Cream,0.05%,1,7027,11959.0,1377332.57,Hospital,EGP,18.295220447298384,243.7059650402927
2023-02-01,Egypt,Cairo,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,7570,13262.0,1200575.1,Independent Pharmacy,EGP,20.464448641018052,317.9653126853398
2023-02-01,Egypt,Giza,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,6873,14900.0,272781.43,Independent Pharmacy,EGP,3.34113954073043,91.16555293004278
2023-02-01,Egypt,Alexandria,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,4534,6848.0,617196.68,Independent Pharmacy,EGP,6.727089384465167,161.41499803344726
2023-02-01,Egypt,Delta,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,2024,4046.0,160866.67,Hospital,EGP,3.111608173205441,-82.5116045249559
2023-02-01,Egypt,Upper Egypt,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,1647,3205.0,193781.59,Hospital,EGP,5.641067179383008,-74.98232167856219
2023-02-01,Egypt,Canal,P0009,LipiControl,Molecule I,Iota Pharma,C10AA01,Cardiovascular,Tablet,20 mg,30,7905,14552.0,1258852.74,Independent Pharmacy,EGP,16.721443237914276,-17.302795878091526
2023-02-01,Egypt,Cairo,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,3974,6235.0,493016.83,Independent Pharmacy,EGP,8.403737172870342,4.381860186816833
2023-02-01,Egypt,Giza,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,8344,16407.0,261599.14,Independent Pharmacy,EGP,3.2041742375024405,-71.44026735753208
2023-02-01,Egypt,Alexandria,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,6622,12887.0,463096.57,Chain Pharmacy,EGP,5.047486678037914,47.93959445211231
2023-02-01,Egypt,Delta,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,8450,11163.0,652665.38,Chain Pharmacy,EGP,12.62436109839431,-38.575530619054085
2023-02-01,Egypt,Upper Egypt,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,1132,2093.0,211398.68,Chain Pharmacy,EGP,6.153908405400591,16.480090733818685
2023-02-01,Egypt,Canal,P0010,GastroEase,Molecule J,Kappa Pharma,A02BC02,Gastrointestinal,Capsule,40 mg,14,4158,6561.0,310344.87,Hospital,EGP,4.122336126370814,-62.255827287010554
2023-03-01,Egypt,Cairo,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,5062,7353.0,166328.67,Chain Pharmacy,EGP,2.8352014741079157,132.16742932781182
2023-03-01,Egypt,Giza,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,5364,10072.0,978150.71,Hospital,EGP,12.230593597497025,377.32485803969365
2023-03-01,Egypt,Alexandria,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,8815,18520.0,765330.85,Chain Pharmacy,EGP,9.019457836163273,-21.1128710052928
2023-03-01,Egypt,Delta,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,8986,12404.0,843445.38,Chain Pharmacy,EGP,13.28579523901499,496.0150404790025
2023-03-01,Egypt,Upper Egypt,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,8840,19219.0,749158.45,Independent Pharmacy,EGP,12.66973036114333,409.4663513222378
2023-03-01,Egypt,Canal,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,8356,11860.0,1240676.12,Independent Pharmacy,EGP,17.90985751474878,271.82825992922994
2023-03-01,Egypt,Cairo,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,5170,7294.0,743737.58,Chain Pharmacy,EGP,12.677585188202691,-18.501135294034633
2023-03-01,Egypt,Giza,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,6080,12753.0,593779.26,Chain Pharmacy,EGP,7.424492710006336,-61.19258045499243
2023-03-01,Egypt,Alexandria,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,5176,10254.0,626486.0,Independent Pharmacy,EGP,7.383165152622014,-10.871355469267108
2023-03-01,Egypt,Delta,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,7656,15828.0,321051.81,Hospital,EGP,5.057148583557532,142.12099510904022
