Month,HCP_ID,Product_ID,Brand,Specialty,Territory,Channel,Touches,Promotional_Spend,Engagement_Rate
2023-01-01,HCP0003,P0010,GastroEase,Endocrinology,Giza,Sample,9,1078.69,0.093
2023-01-01,HCP0004,P0001,CardioSafe,Pediatrics,Alexandria,Field Call,2,285.18,0.285
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Field Call,8,1372.88,0.406
2023-01-01,HCP0004,P0009,LipiControl,Pediatrics,Alexandria,Event,12,785.59,0.369
2023-01-01,HCP0002,P0008,Dermacare,Internal Medicine,Cairo West,Event,4,853.03,0.248
2023-01-01,HCP0007,P0003,Respira,Dermatology,Cairo East,Field Call,12,644.26,0.287
2023-01-01,HCP0004,P0005,Infecto,Pediatrics,Alexandria,Field Call,1,220.34,0.351
2023-01-01,HCP0006,P0010,GastroEase,Neurology,Upper Egypt,Digital,6,1423.26,0.329
2023-01-01,HCP0010,P0009,LipiControl,Orthopedics,Cairo West,Field Call,12,1442.23,0.375
2023-01-01,HCP0001,P0006,NeuroCalm,Cardiology,Cairo East,Event,8,2153.67,0.087
2023-01-01,HCP0007,P0001,CardioSafe,Dermatology,Cairo East,Field Call,3,158.81,0.164
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Event,7,2354.21,0.359
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Email,11,3031.57,0.319
2023-01-01,HCP0002,P0003,Respira,Internal Medicine,Cairo West,Email,5,988.38,0.105
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Event,14,3514.11,0.238
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Digital,9,2867.43,0.084
2023-01-01,HCP0008,P0003,Respira,GP,Giza,Email,2,543.46,0.146
2023-01-01,HCP0006,P0008,Dermacare,Neurology,Upper Egypt,Email,12,4127.18,0.41
2023-01-01,HCP0001,P0004,PainFree,Cardiology,Cairo East,Field Call,3,657.01,0.375
2023-01-01,HCP0009,P0010,GastroEase,Cardiology,Alexandria,Event,8,418.81,0.26
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Field Call,11,1748.54,0.365
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Sample,10,1454.14,0.289
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Event,0,0.0,0.113
2023-01-01,HCP0010,P0001,CardioSafe,Orthopedics,Cairo West,Email,1,252.26,0.439
2023-01-01,HCP0008,P0006,NeuroCalm,GP,Giza,Event,4,399.94,0.352
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Event,1,224.02,0.168
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Sample,14,1492.06,0.159
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Event,3,1046.43,0.166
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Email,8,631.49,0.191
2023-01-01,HCP0007,P0010,GastroEase,Dermatology,Cairo East,Digital,14,2166.63,0.427
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Digital,1,100.44,0.381
2023-01-01,HCP0006,P0003,Respira,Neurology,Upper Egypt,Sample,2,142.53,0.072
2023-01-01,HCP0008,P0006,NeuroCalm,GP,Giza,Field Call,3,620.13,0.231
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Digital,8,947.65,0.418
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Field Call,0,0.0,0.223
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Sample,10,358.18,0.262
2023-01-01,HCP0010,P0001,CardioSafe,Orthopedics,Cairo West,Digital,12,4016.45,0.353
2023-01-01,HCP0006,P0001,CardioSafe,Neurology,Upper Egypt,Sample,13,3684.52,0.108
2023-01-01,HCP0008,P0001,CardioSafe,GP,Giza,Event,14,1717.38,0.082
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Field Call,5,1620.87,0.34
2023-01-01,HCP0001,P0004,PainFree,Cardiology,Cairo East,Sample,3,1002.06,0.434
2023-01-01,HCP0002,P0004,PainFree,Internal Medicine,Cairo West,Event,9,1178.43,0.189
2023-01-01,HCP0004,P0005,Infecto,Pediatrics,Alexandria,Sample,13,3356.51,0.229
2023-01-01,HCP0003,P0010,GastroEase,Endocrinology,Giza,Email,8,1070.66,0.308
2023-01-01,HCP0009,P0001,CardioSafe,Cardiology,Alexandria,Email,14,3083.47,0.401
2023-01-01,HCP0004,P0010,GastroEase,Pediatrics,Alexandria,Field Call,9,750.36,0.188
2023-01-01,HCP0008,P0002,GlucoMax,GP,Giza,Field Call,8,2254.24,0.178
2023-01-01,HCP0009,P0010,GastroEase,Cardiology,Alexandria,Email,8,2440.96,0.285
2023-01-01,HCP0004,P0006,NeuroCalm,Pediatrics,Alexandria,Digital,10,2703.14,0.282
2023-01-01,HCP0004,P0004,PainFree,Pediatrics,Alexandria,Field Call,7,625.08,0.429
2023-01-01,HCP0007,P0003,Respira,Dermatology,Cairo East,Email,2,413.45,0.3
2023-01-01,HCP0005,P0003,Respira,Pulmonology,Delta,Event,14,606.81,0.302
2023-01-01,HCP0008,P0010,GastroEase,GP,Giza,Sample,13,3044.17,0.173
2023-01-01,HCP0007,P0002,GlucoMax,Dermatology,Cairo East,Digital,0,0.0,0.373
2023-01-01,HCP0002,P0008,Dermacare,Internal Medicine,Cairo West,Email,7,1969.5,0.228
2023-01-01,HCP0004,P0002,GlucoMax,Pediatrics,Alexandria,Field Call,5,1504.03,0.091
2023-01-01,HCP0007,P0002,GlucoMax,Dermatology,Cairo East,Digital,6,1595.19,0.18
2023-01-01,HCP0007,P0010,GastroEase,Dermatology,Cairo East,Digital,10,1989.38,0.081
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Event,10,200.02,0.129
2023-01-01,HCP0009,P0010,GastroEase,Cardiology,Alexandria,Sample,5,284.5,0.412
2023-01-01,HCP0006,P0007,ArthroRelief,Neurology,Upper Egypt,Sample,4,1067.75,0.332
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Digital,8,1346.56,0.181
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Sample,4,93.76,0.216
2023-01-01,HCP0006,P0008,Dermacare,Neurology,Upper Egypt,Field Call,8,2656.82,0.054
2023-01-01,HCP0006,P0007,ArthroRelief,Neurology,Upper Egypt,Event,14,1544.03,0.218
2023-01-01,HCP0002,P0010,GastroEase,Internal Medicine,Cairo West,Event,3,141.48,0.439
2023-01-01,HCP0006,P0003,Respira,Neurology,Upper Egypt,Digital,11,3622.47,0.38
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Event,3,715.23,0.104
2023-01-01,HCP0010,P0001,CardioSafe,Orthopedics,Cairo West,Digital,3,266.71,0.108
2023-01-01,HCP0005,P0010,GastroEase,Pulmonology,Delta,Email,4,1320.14,0.336
2023-01-01,HCP0005,P0005,Infecto,Pulmonology,Delta,Field Call,9,1382.65,0.367
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Digital,9,1941.47,0.356
2023-01-01,HCP0002,P0010,GastroEase,Internal Medicine,Cairo West,Event,5,794.27,0.257
2023-01-01,HCP0004,P0010,GastroEase,Pediatrics,Alexandria,Field Call,0,0.0,0.097
2023-01-01,HCP0002,P0007,ArthroRelief,Internal Medicine,Cairo West,Sample,9,1731.41,0.197
2023-01-01,HCP0009,P0006,NeuroCalm,Cardiology,Alexandria,Digital,3,937.67,0.293
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Event,10,1563.48,0.442
2023-01-01,HCP0001,P0006,NeuroCalm,Cardiology,Cairo East,Digital,3,700.76,0.375
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Sample,8,264.53,0.384
2023-01-01,HCP0004,P0010,GastroEase,Pediatrics,Alexandria,Field Call,13,459.45,0.065
2023-01-01,HCP0004,P0002,GlucoMax,Pediatrics,Alexandria,Digital,1,341.17,0.229
2023-01-01,HCP0001,P0010,GastroEase,Cardiology,Cairo East,Event,10,3159.74,0.236
2023-01-01,HCP0003,P0003,Respira,Endocrinology,Giza,Sample,4,119.57,0.219
2023-01-01,HCP0003,P0008,Dermacare,Endocrinology,Giza,Event,14,3341.71,0.352
2023-01-01,HCP0003,P0009,LipiControl,Endocrinology,Giza,Field Call,2,547.25,0.135
2023-01-01,HCP0010,P0004,PainFree,Orthopedics,Cairo West,Sample,9,1234.71,0.111
2023-01-01,HCP0003,P0007,ArthroRelief,Endocrinology,Giza,Email,6,841.24,0.287
2023-01-01,HCP0009,P0001,CardioSafe,Cardiology,Alexandria,Email,12,1959.66,0.259
2023-01-01,HCP0004,P0004,PainFree,Pediatrics,Alexandria,Sample,6,818.57,0.139
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Email,7,718.56,0.223
2023-01-01,HCP0002,P0001,CardioSafe,Internal Medicine,Cairo West,Sample,4,507.25,0.448
2023-01-01,HCP0003,P0006,NeuroCalm,Endocrinology,Giza,Email,5,445.96,0.439
2023-01-01,HCP0005,P0003,Respira,Pulmonology,Delta,Email,0,0.0,0.301
2023-01-01,HCP0010,P0010,GastroEase,Orthopedics,Cairo West,Digital,8,1317.67,0.085
2023-01-01,HCP0008,P0008,Dermacare,GP,Giza,Sample,11,1376.92,0.088
2023-01-01,HCP0004,P0003,Respira,Pediatrics,Alexandria,Event,0,0.0,0.079
2023-01-01,HCP0002,P0008,Dermacare,Internal Medicine,Cairo West,Sample,5,383.3,0.4
2023-01-01,HCP0003,P0007,ArthroRelief,Endocrinology,Giza,Field Call,3,578.64,0.416
2023-01-01,HCP0005,P0009,LipiControl,Pulmonology,Delta,Email,11,2792.82,0.104
2023-01-01,HCP0010,P0003,Respira,Orthopedics,Cairo West,Field Call,6,1381.34,0.224
2023-01-01,HCP0004,P0007,ArthroRelief,Pediatrics,Alexandria,Field Call,1,73.13,0.281
2023-01-01,HCP0006,P0006,NeuroCalm,Neurology,Upper Egypt,Event,14,2775.51,0.14
2023-01-01,HCP0002,P0004,PainFree,Internal Medicine,Cairo West,Email,5,233.7,0.065
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Field Call,7,1721.51,0.338
2023-01-01,HCP0004,P0005,Infecto,Pediatrics,Alexandria,Sample,10,1998.27,0.14
2023-01-01,HCP0006,P0010,GastroEase,Neurology,Upper Egypt,Digital,14,2982.24,0.381
2023-01-01,HCP0002,P0008,Dermacare,Internal Medicine,Cairo West,Digital,13,410.05,0.178
2023-01-01,HCP0008,P0001,CardioSafe,GP,Giza,Sample,7,1531.93,0.114
2023-01-01,HCP0008,P0001,CardioSafe,GP,Giza,Sample,14,1953.56,0.199
2023-01-01,HCP0005,P0008,Dermacare,Pulmonology,Delta,Digital,12,472.96,0.214
2023-01-01,HCP0007,P0002,GlucoMax,Dermatology,Cairo East,Field Call,4,766.77,0.224
2023-01-01,HCP0001,P0003,Respira,Cardiology,Cairo East,Email,4,277.35,0.198
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Event,5,283.3,0.094
2023-01-01,HCP0001,P0006,NeuroCalm,Cardiology,Cairo East,Event,14,556.79,0.116
2023-01-01,HCP0007,P0003,Respira,Dermatology,Cairo East,Event,9,945.32,0.097
2023-01-01,HCP0001,P0004,PainFree,Cardiology,Cairo East,Digital,10,790.07,0.356
2023-01-01,HCP0004,P0010,GastroEase,Pediatrics,Alexandria,Event,0,0.0,0.093
2023-01-01,HCP0002,P0003,Respira,Internal Medicine,Cairo West,Event,7,1772.65,0.228
2023-01-01,HCP0009,P0007,ArthroRelief,Cardiology,Alexandria,Sample,10,1353.67,0.089
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Event,1,42.5,0.354
2023-01-01,HCP0006,P0007,ArthroRelief,Neurology,Upper Egypt,Sample,4,570.67,0.386
2023-01-01,HCP0009,P0002,GlucoMax,Cardiology,Alexandria,Digital,5,1289.95,0.055
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Field Call,12,399.25,0.259
2023-01-01,HCP0005,P0005,Infecto,Pulmonology,Delta,Field Call,3,184.35,0.094
2023-01-01,HCP0005,P0004,PainFree,Pulmonology,Delta,Digital,10,3014.52,0.148
2023-01-01,HCP0005,P0003,Respira,Pulmonology,Delta,Email,3,745.18,0.317
2023-01-01,HCP0006,P0009,LipiControl,Neurology,Upper Egypt,Email,12,2759.98,0.178
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Email,12,654.09,0.383
2023-01-01,HCP0002,P0010,GastroEase,Internal Medicine,Cairo West,Digital,12,3787.1,0.389
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Event,2,344.71,0.08
2023-01-01,HCP0008,P0008,Dermacare,GP,Giza,Event,0,0.0,0.176
2023-01-01,HCP0005,P0007,ArthroRelief,Pulmonology,Delta,Event,8,1037.39,0.157
2023-01-01,HCP0007,P0008,Dermacare,Dermatology,Cairo East,Email,1,106.4,0.089
2023-01-01,HCP0002,P0001,CardioSafe,Internal Medicine,Cairo West,Field Call,3,309.34,0.051
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Sample,9,1434.17,0.425
2023-01-01,HCP0002,P0005,Infecto,Internal Medicine,Cairo West,Digital,2,110.01,0.426
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Digital,7,1659.68,0.285
2023-01-01,HCP0010,P0009,LipiControl,Orthopedics,Cairo West,Sample,2,570.87,0.19
2023-01-01,HCP0005,P0008,Dermacare,Pulmonology,Delta,Sample,14,1068.84,0.198
2023-01-01,HCP0001,P0008,Dermacare,Cardiology,Cairo East,Event,6,1161.95,0.442
2023-01-01,HCP0001,P0009,LipiControl,Cardiology,Cairo East,Field Call,12,3198.78,0.087
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Event,3,572.96,0.055
2023-01-01,HCP0010,P0004,PainFree,Orthopedics,Cairo West,Digital,3,850.83,0.343
2023-01-01,HCP0009,P0002,GlucoMax,Cardiology,Alexandria,Event,13,4348.33,0.127
2023-01-01,HCP0003,P0004,PainFree,Endocrinology,Giza,Field Call,13,1031.52,0.323
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Sample,11,3743.65,0.289
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Email,11,2903.02,0.325
2023-01-01,HCP0002,P0004,PainFree,Internal Medicine,Cairo West,Field Call,12,2683.45,0.229
2023-01-01,HCP0007,P0004,PainFree,Dermatology,Cairo East,Event,12,2436.12,0.211
2023-01-01,HCP0003,P0002,GlucoMax,Endocrinology,Giza,Event,1,181.95,0.32
2023-01-01,HCP0010,P0006,NeuroCalm,Orthopedics,Cairo West,Digital,3,1041.09,0.244
2023-01-01,HCP0004,P0003,Respira,Pediatrics,Alexandria,Digital,9,534.25,0.162
2023-01-01,HCP0009,P0010,GastroEase,Cardiology,Alexandria,Sample,9,2971.45,0.265
2023-01-01,HCP0006,P0002,GlucoMax,Neurology,Upper Egypt,Email,5,1565.83,0.302
2023-01-01,HCP0004,P0007,ArthroRelief,Pediatrics,Alexandria,Event,5,993.0,0.35
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Sample,2,160.96,0.316
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Event,7,1244.79,0.412
2023-01-01,HCP0004,P0010,GastroEase,Pediatrics,Alexandria,Field Call,12,454.13,0.173
2023-01-01,HCP0001,P0008,Dermacare,Cardiology,Cairo East,Email,13,3209.72,0.052
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Event,3,487.34,0.42
2023-01-01,HCP0007,P0004,PainFree,Dermatology,Cairo East,Sample,0,0.0,0.407
2023-01-01,HCP0009,P0007,ArthroRelief,Cardiology,Alexandria,Field Call,3,139.19,0.367
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Event,8,1183.78,0.426
2023-01-01,HCP0010,P0003,Respira,Orthopedics,Cairo West,Field Call,10,1548.33,0.129
2023-01-01,HCP0008,P0004,PainFree,GP,Giza,Digital,11,2356.15,0.448
2023-01-01,HCP0008,P0010,GastroEase,GP,Giza,Digital,2,365.42,0.273
2023-01-01,HCP0010,P0006,NeuroCalm,Orthopedics,Cairo West,Field Call,11,3148.47,0.32
2023-01-01,HCP0001,P0004,PainFree,Cardiology,Cairo East,Email,11,3016.7,0.39
2023-01-01,HCP0008,P0007,ArthroRelief,GP,Giza,Sample,13,709.02,0.217
2023-01-01,HCP0007,P0004,PainFree,Dermatology,Cairo East,Sample,13,4479.09,0.422
2023-01-01,HCP0008,P0006,NeuroCalm,GP,Giza,Field Call,2,327.81,0.197
2023-01-01,HCP0008,P0006,NeuroCalm,GP,Giza,Event,6,338.27,0.067
2023-01-01,HCP0004,P0009,LipiControl,Pediatrics,Alexandria,Event,2,533.29,0.213
2023-01-01,HCP0006,P0003,Respira,Neurology,Upper Egypt,Event,12,3610.3,0.26
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Sample,12,1296.95,0.163
2023-01-01,HCP0006,P0007,ArthroRelief,Neurology,Upper Egypt,Field Call,10,367.33,0.276
2023-01-01,HCP0007,P0004,PainFree,Dermatology,Cairo East,Email,0,0.0,0.148
2023-01-01,HCP0008,P0004,PainFree,GP,Giza,Field Call,14,4643.72,0.424
2023-01-01,HCP0002,P0003,Respira,Internal Medicine,Cairo West,Field Call,3,604.76,0.441
2023-01-01,HCP0007,P0010,GastroEase,Dermatology,Cairo East,Event,13,2437.67,0.102
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Email,2,534.27,0.398
2023-01-01,HCP0009,P0007,ArthroRelief,Cardiology,Alexandria,Email,0,0.0,0.302
2023-01-01,HCP0003,P0008,Dermacare,Endocrinology,Giza,Email,2,75.97,0.228
2023-01-01,HCP0009,P0009,LipiControl,Cardiology,Alexandria,Event,12,1822.9,0.175
2023-01-01,HCP0010,P0001,CardioSafe,Orthopedics,Cairo West,Sample,11,1919.5,0.102
2023-01-01,HCP0006,P0007,ArthroRelief,Neurology,Upper Egypt,Digital,1,232.27,0.161
2023-01-01,HCP0006,P0010,GastroEase,Neurology,Upper Egypt,Sample,14,2383.37,0.086
2023-01-01,HCP0003,P0006,NeuroCalm,Endocrinology,Giza,Field Call,8,1905.57,0.257
2023-01-01,HCP0001,P0010,GastroEase,Cardiology,Cairo East,Digital,1,249.14,0.227
2023-01-01,HCP0009,P0004,PainFree,Cardiology,Alexandria,Event,0,0.0,0.091
2023-01-01,HCP0010,P0007,ArthroRelief,Orthopedics,Cairo West,Field Call,6,1147.14,0.074
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Event,0,0.0,0.312
2023-01-01,HCP0007,P0001,CardioSafe,Dermatology,Cairo East,Digital,2,645.66,0.061
2023-01-01,HCP0009,P0008,Dermacare,Cardiology,Alexandria,Sample,4,1006.85,0.423
2023-01-01,HCP0003,P0006,NeuroCalm,Endocrinology,Giza,Digital,13,1007.07,0.373
2023-01-01,HCP0008,P0002,GlucoMax,GP,Giza,Email,5,1066.3,0.243
2023-01-01,HCP0001,P0007,ArthroRelief,Cardiology,Cairo East,Digital,1,224.65,0.432
2023-01-01,HCP0004,P0005,Infecto,Pediatrics,Alexandria,Field Call,14,4289.35,0.093
2023-01-01,HCP0002,P0007,ArthroRelief,Internal Medicine,Cairo West,Email,8,815.45,0.142
2023-01-01,HCP0010,P0001,CardioSafe,Orthopedics,Cairo West,Sample,10,1872.01,0.382
2023-01-01,HCP0007,P0006,NeuroCalm,Dermatology,Cairo East,Event,2,156.22,0.28
2023-01-01,HCP0001,P0002,GlucoMax,Cardiology,Cairo East,Event,0,0.0,0.249
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Sample,9,2191.64,0.265
2023-01-01,HCP0005,P0004,PainFree,Pulmonology,Delta,Field Call,10,3055.74,0.163
2023-01-01,HCP0008,P0010,GastroEase,GP,Giza,Sample,0,0.0,0.193
2023-01-01,HCP0010,P0008,Dermacare,Orthopedics,Cairo West,Email,3,896.75,0.368
2023-01-01,HCP0001,P0005,Infecto,Cardiology,Cairo East,Email,5,176.76,0.395
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Email,10,2585.08,0.196
2023-01-01,HCP0001,P0008,Dermacare,Cardiology,Cairo East,Sample,2,412.88,0.37
2023-01-01,HCP0001,P0005,Infecto,Cardiology,Cairo East,Email,9,1813.18,0.156
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Sample,14,3756.42,0.247
2023-01-01,HCP0010,P0010,GastroEase,Orthopedics,Cairo West,Field Call,3,361.71,0.076
2023-01-01,HCP0007,P0003,Respira,Dermatology,Cairo East,Digital,6,1771.78,0.394
2023-01-01,HCP0004,P0007,ArthroRelief,Pediatrics,Alexandria,Event,6,891.68,0.433
2023-01-01,HCP0003,P0007,ArthroRelief,Endocrinology,Giza,Field Call,3,434.45,0.243
2023-01-01,HCP0009,P0002,GlucoMax,Cardiology,Alexandria,Email,4,1064.56,0.236
2023-01-01,HCP0005,P0003,Respira,Pulmonology,Delta,Event,9,2095.67,0.054
2023-01-01,HCP0001,P0008,Dermacare,Cardiology,Cairo East,Event,6,1793.88,0.436
2023-01-01,HCP0006,P0003,Respira,Neurology,Upper Egypt,Event,0,0.0,0.128
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Digital,1,115.43,0.16
2023-01-01,HCP0009,P0002,GlucoMax,Cardiology,Alexandria,Field Call,9,715.97,0.228
2023-01-01,HCP0008,P0003,Respira,GP,Giza,Field Call,0,0.0,0.281
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Event,6,154.52,0.241
2023-01-01,HCP0003,P0007,ArthroRelief,Endocrinology,Giza,Digital,1,252.07,0.418
2023-01-01,HCP0010,P0007,ArthroRelief,Orthopedics,Cairo West,Sample,12,2167.89,0.096
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Field Call,9,2800.39,0.183
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Email,1,156.51,0.116
2023-01-01,HCP0008,P0008,Dermacare,GP,Giza,Sample,10,2174.34,0.227
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Sample,2,230.11,0.264
2023-01-01,HCP0006,P0008,Dermacare,Neurology,Upper Egypt,Email,6,1512.2,0.136
2023-01-01,HCP0002,P0002,GlucoMax,Internal Medicine,Cairo West,Event,2,55.97,0.315
2023-01-01,HCP0003,P0001,CardioSafe,Endocrinology,Giza,Event,3,325.18,0.124
2023-01-01,HCP0007,P0001,CardioSafe,Dermatology,Cairo East,Email,3,928.31,0.281
2023-01-01,HCP0008,P0003,Respira,GP,Giza,Email,5,559.22,0.145
2023-01-01,HCP0004,P0005,Infecto,Pediatrics,Alexandria,Email,12,293.69,0.226
2023-01-01,HCP0004,P0007,ArthroRelief,Pediatrics,Alexandria,Sample,3,772.12,0.211
2023-01-01,HCP0004,P0009,LipiControl,Pediatrics,Alexandria,Event,11,1278.28,0.391
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Sample,1,238.52,0.065
2023-01-01,HCP0007,P0007,ArthroRelief,Dermatology,Cairo East,Event,6,1584.95,0.366
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Digital,8,1501.01,0.133
2023-01-01,HCP0001,P0002,GlucoMax,Cardiology,Cairo East,Field Call,14,1515.54,0.073
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Event,4,1330.51,0.116
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Field Call,9,513.46,0.063
2023-01-01,HCP0003,P0005,Infecto,Endocrinology,Giza,Digital,4,1372.69,0.183
2023-01-01,HCP0010,P0008,Dermacare,Orthopedics,Cairo West,Email,2,658.58,0.399
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Field Call,7,932.2,0.34
2023-01-01,HCP0005,P0008,Dermacare,Pulmonology,Delta,Sample,8,1298.08,0.349
2023-01-01,HCP0009,P0007,ArthroRelief,Cardiology,Alexandria,Email,7,580.79,0.383
2023-01-01,HCP0005,P0008,Dermacare,Pulmonology,Delta,Event,10,1539.53,0.441
2023-01-01,HCP0006,P0004,PainFree,Neurology,Upper Egypt,Digital,7,2398.08,0.142
2023-01-01,HCP0001,P0004,PainFree,Cardiology,Cairo East,Digital,5,1032.24,0.072
2023-01-01,HCP0008,P0008,Dermacare,GP,Giza,Sample,2,668.57,0.331
